appointment,resident,status,attempts
AP-70802,RS-4398,withheld-regulation,""
AP-70108,RS-4422,withheld-regulation,""
AP-70530,RS-4163,withheld-regulation,""
AP-70908,RS-4574,withheld-regulation,""
AP-70888,RS-4613,withheld-regulation,""
AP-70245,RS-4055,withheld-regulation,""
AP-70432,RS-4487,withheld-regulation,""
AP-70462,RS-4254,withheld-regulation,""
AP-70529,RS-4527,withheld-regulation,""
AP-70281,RS-4296,withheld-regulation,""
AP-70655,RS-4596,withheld-regulation,""
AP-70726,RS-4072,withheld-regulation,""
AP-70130,RS-4040,opted out,""
AP-70445,RS-4292,withheld-regulation,""
AP-70657,RS-4594,withheld-regulation,""
AP-70737,RS-4318,withheld-regulation,""
AP-70753,RS-4059,opted out,""
AP-70136,RS-4542,withheld-regulation,""
AP-70495,RS-4073,withheld-regulation,""
AP-70832,RS-4419,withheld-regulation,""
AP-70856,RS-4280,opted out,""
AP-70407,RS-4504,withheld-regulation,""
AP-70554,RS-4584,unreached,""
AP-70853,RS-4356,withheld-regulation,""
AP-70018,RS-4013,withheld-regulation,""
AP-70261,RS-4254,withheld-regulation,""
AP-70591,RS-4586,withheld-regulation,""
AP-70742,RS-4422,withheld-regulation,""
AP-70786,RS-4136,opted out,""
AP-70234,RS-4334,withheld-regulation,""
AP-70395,RS-4412,withheld-regulation,""
AP-70872,RS-4378,withheld-regulation,""
AP-70201,RS-4517,withheld-regulation,""
AP-70284,RS-4079,withheld-regulation,""
AP-70521,RS-4287,withheld-regulation,""
AP-70688,RS-4071,withheld-regulation,""
AP-70901,RS-4085,withheld-regulation,""
AP-70935,RS-4200,withheld-regulation,""
AP-70005,RS-4009,withheld-regulation,""
AP-70323,RS-4505,withheld-regulation,""
AP-70528,RS-4098,unreached,""
AP-70547,RS-4571,withheld-regulation,""
AP-70791,RS-4084,withheld-regulation,""
AP-70869,RS-4278,withheld-regulation,""
AP-70120,RS-4281,withheld-regulation,""
AP-70444,RS-4105,withheld-regulation,""
AP-70696,RS-4249,withheld-regulation,""
AP-70214,RS-4596,withheld-regulation,""
AP-70233,RS-4616,withheld-regulation,""
AP-70592,RS-4152,withheld-regulation,""
AP-70599,RS-4383,withheld-regulation,""
AP-70060,RS-4097,unreached,""
AP-70325,RS-4191,opted out,""
AP-70338,RS-4359,withheld-regulation,""
AP-70403,RS-4122,withheld-regulation,""
AP-70631,RS-4307,withheld-regulation,""
AP-70634,RS-4542,withheld-regulation,""
AP-70783,RS-4153,withheld-regulation,""
AP-70788,RS-4347,withheld-regulation,""
AP-70253,RS-4386,withheld-regulation,""
AP-70504,RS-4311,withheld-regulation,""
AP-70485,RS-4146,withheld-regulation,""
AP-70573,RS-4158,withheld-regulation,""
AP-70051,RS-4277,withheld-regulation,""
AP-70299,RS-4143,withheld-regulation,""
AP-70415,RS-4578,withheld-regulation,""
AP-70317,RS-4186,withheld-regulation,""
AP-70231,RS-4089,withheld-regulation,""
AP-70922,RS-4241,withheld-regulation,""
AP-70187,RS-4067,withheld-regulation,""
AP-70598,RS-4232,withheld-regulation,""
AP-70047,RS-4153,withheld-regulation,""
AP-70745,RS-4194,withheld-regulation,""
AP-70376,RS-4367,withheld-regulation,""
AP-70236,RS-4178,withheld-regulation,""
AP-70272,RS-4004,withheld-regulation,""
AP-70755,RS-4149,withheld-regulation,""
AP-70092,RS-4266,opted out,""
AP-70128,RS-4610,withheld-regulation,""
AP-70159,RS-4601,withheld-regulation,""
AP-70180,RS-4526,withheld-regulation,""
AP-70342,RS-4330,withheld-regulation,""
AP-70566,RS-4154,withheld-regulation,""
AP-70645,RS-4353,withheld-regulation,""
AP-70725,RS-4617,withheld-regulation,""
AP-70401,RS-4364,withheld-regulation,""
AP-70691,RS-4394,unreached,""
AP-70105,RS-4463,withheld-regulation,""
AP-70481,RS-4363,opted out,""
AP-70302,RS-4079,withheld-regulation,""
AP-70422,RS-4338,withheld-regulation,""
AP-70694,RS-4445,withheld-regulation,""
AP-70399,RS-4313,withheld-regulation,""
AP-70131,RS-4161,withheld-regulation,""
AP-70625,RS-4535,withheld-regulation,""
AP-70721,RS-4214,withheld-regulation,""
AP-70829,RS-4093,withheld-regulation,""
AP-70850,RS-4085,withheld-regulation,""
AP-70855,RS-4478,withheld-regulation,""
AP-70553,RS-4447,withheld-regulation,""
AP-70626,RS-4021,opted out,""
AP-70440,RS-4501,withheld-regulation,""
AP-70650,RS-4565,withheld-regulation,""
AP-70012,RS-4314,withheld-regulation,""
AP-70188,RS-4561,opted out,""
AP-70192,RS-4315,withheld-regulation,""
AP-70117,RS-4455,opted out,""
AP-70496,RS-4105,withheld-regulation,""
AP-70511,RS-4007,withheld-regulation,""
AP-70854,RS-4429,withheld-regulation,""
AP-70191,RS-4225,withheld-regulation,""
AP-70311,RS-4160,withheld-regulation,""
AP-70393,RS-4285,withheld-regulation,""
AP-70735,RS-4590,withheld-regulation,""
AP-70924,RS-4133,unreached,""
AP-70273,RS-4352,withheld-regulation,""
AP-70351,RS-4065,opted out,""
AP-70431,RS-4556,withheld-regulation,""
AP-70447,RS-4257,withheld-regulation,""
AP-70127,RS-4178,withheld-regulation,""
AP-70710,RS-4536,withheld-regulation,""
AP-70402,RS-4380,withheld-regulation,""
AP-70505,RS-4517,withheld-regulation,""
AP-70859,RS-4498,withheld-regulation,""
AP-70360,RS-4247,withheld-regulation,""
AP-70526,RS-4516,opted out,""
AP-70263,RS-4204,withheld-regulation,""
AP-70147,RS-4116,withheld-regulation,""
AP-70255,RS-4453,withheld-regulation,""
AP-70076,RS-4227,withheld-regulation,""
AP-70398,RS-4402,withheld-regulation,""
AP-70256,RS-4351,withheld-regulation,""
AP-70761,RS-4513,withheld-regulation,""
AP-70532,RS-4363,opted out,""
AP-70190,RS-4608,withheld-regulation,""
AP-70374,RS-4357,withheld-regulation,""
AP-70555,RS-4350,withheld-regulation,""
AP-70808,RS-4531,withheld-regulation,""
AP-70911,RS-4230,withheld-regulation,""
AP-70756,RS-4554,withheld-regulation,""
AP-70539,RS-4298,withheld-regulation,""
AP-70607,RS-4154,withheld-regulation,""
AP-70720,RS-4541,withheld-regulation,""
AP-70146,RS-4544,withheld-regulation,""
AP-70698,RS-4148,withheld-regulation,""
AP-70741,RS-4524,withheld-regulation,""
AP-70096,RS-4199,withheld-regulation,""
AP-70827,RS-4248,withheld-regulation,""
AP-70186,RS-4147,withheld-regulation,""
AP-70210,RS-4606,withheld-regulation,""
AP-70549,RS-4124,withheld-regulation,""
AP-70668,RS-4610,withheld-regulation,""
AP-70031,RS-4071,withheld-regulation,""
AP-70294,RS-4562,withheld-regulation,""
AP-70375,RS-4050,unreached,""
AP-70840,RS-4476,withheld-regulation,""
AP-70055,RS-4543,unreached,""
AP-70336,RS-4396,withheld-regulation,""
AP-70605,RS-4088,withheld-regulation,""
AP-70347,RS-4588,withheld-regulation,""
AP-70478,RS-4372,withheld-regulation,""
AP-70366,RS-4014,withheld-regulation,""
AP-70810,RS-4528,withheld-regulation,""
AP-70917,RS-4529,withheld-regulation,""
AP-70172,RS-4156,opted out,""
AP-70627,RS-4606,withheld-regulation,""
AP-70006,RS-4076,withheld-regulation,""
AP-70098,RS-4096,withheld-regulation,""
AP-70241,RS-4348,withheld-regulation,""
AP-70568,RS-4285,withheld-regulation,""
AP-70664,RS-4415,withheld-regulation,""
AP-70409,RS-4605,withheld-regulation,""
AP-70576,RS-4437,withheld-regulation,""
AP-70876,RS-4489,withheld-regulation,""
AP-70069,RS-4561,opted out,""
AP-70451,RS-4256,unreached,""
AP-70584,RS-4313,withheld-regulation,""
AP-70913,RS-4033,withheld-regulation,""
AP-70388,RS-4564,withheld-regulation,""
AP-70849,RS-4559,withheld-regulation,""
AP-70017,RS-4019,withheld-regulation,""
AP-70848,RS-4162,withheld-regulation,""
AP-70181,RS-4331,withheld-regulation,""
AP-70520,RS-4066,withheld-regulation,""
AP-70331,RS-4518,withheld-regulation,""
AP-70219,RS-4575,withheld-regulation,""
AP-70771,RS-4385,opted out,""
AP-70759,RS-4351,withheld-regulation,""
AP-70842,RS-4115,withheld-regulation,""
AP-70794,RS-4486,withheld-regulation,""
AP-70577,RS-4351,withheld-regulation,""
AP-70198,RS-4028,withheld-regulation,""
AP-70467,RS-4602,withheld-regulation,""
AP-70906,RS-4018,withheld-regulation,""
AP-70088,RS-4127,withheld-regulation,""
AP-70449,RS-4344,withheld-regulation,""
AP-70916,RS-4236,withheld-regulation,""
AP-70724,RS-4009,withheld-regulation,""
AP-70798,RS-4422,withheld-regulation,""
AP-70846,RS-4079,withheld-regulation,""
AP-70441,RS-4240,withheld-regulation,""
AP-70479,RS-4365,withheld-regulation,""
AP-70560,RS-4389,withheld-regulation,""
AP-70640,RS-4021,opted out,""
AP-70873,RS-4304,withheld-regulation,""
AP-70390,RS-4613,withheld-regulation,""
AP-70782,RS-4512,opted out,""
AP-70896,RS-4009,withheld-regulation,""
AP-70919,RS-4489,withheld-regulation,""
AP-70558,RS-4215,withheld-regulation,""
AP-70654,RS-4377,opted out,""
AP-70032,RS-4522,withheld-regulation,""
AP-70003,RS-4087,withheld-regulation,""
AP-70087,RS-4214,withheld-regulation,""
AP-70220,RS-4373,withheld-regulation,""
AP-70646,RS-4588,withheld-regulation,""
AP-70729,RS-4495,opted out,""
AP-70891,RS-4054,withheld-regulation,""
AP-70021,RS-4323,withheld-regulation,""
AP-70345,RS-4181,withheld-regulation,""
AP-70053,RS-4108,withheld-regulation,""
AP-70072,RS-4176,withheld-regulation,""
AP-70082,RS-4114,withheld-regulation,""
AP-70194,RS-4395,withheld-regulation,""
AP-70642,RS-4590,withheld-regulation,""
AP-70362,RS-4268,withheld-regulation,""
AP-70648,RS-4523,withheld-regulation,""
AP-70129,RS-4205,withheld-regulation,""
AP-70839,RS-4488,withheld-regulation,""
AP-70851,RS-4380,withheld-regulation,""
AP-70104,RS-4191,opted out,""
AP-70228,RS-4546,withheld-regulation,""
AP-70379,RS-4407,withheld-regulation,""
AP-70633,RS-4147,withheld-regulation,""
AP-70675,RS-4057,withheld-regulation,""
AP-70022,RS-4341,withheld-regulation,""
AP-70672,RS-4533,withheld-regulation,""
AP-70687,RS-4369,withheld-regulation,""
AP-70045,RS-4307,withheld-regulation,""
AP-70223,RS-4601,withheld-regulation,""
AP-70620,RS-4450,withheld-regulation,""
AP-70270,RS-4178,withheld-regulation,""
AP-70240,RS-4413,withheld-regulation,""
AP-70778,RS-4018,withheld-regulation,""
AP-70177,RS-4160,withheld-regulation,""
AP-70805,RS-4600,withheld-regulation,""
AP-70931,RS-4572,withheld-regulation,""
AP-70081,RS-4572,withheld-regulation,""
AP-70333,RS-4007,withheld-regulation,""
AP-70370,RS-4596,withheld-regulation,""
AP-70246,RS-4395,withheld-regulation,""
AP-70448,RS-4600,withheld-regulation,""
AP-70154,RS-4543,unreached,""
AP-70420,RS-4002,opted out,""
AP-70841,RS-4314,withheld-regulation,""
AP-70044,RS-4059,opted out,""
AP-70119,RS-4495,opted out,""
AP-70140,RS-4117,withheld-regulation,""
AP-70166,RS-4431,withheld-regulation,""
AP-70658,RS-4090,withheld-regulation,""
AP-70122,RS-4278,withheld-regulation,""
AP-70423,RS-4519,withheld-regulation,""
AP-70349,RS-4239,withheld-regulation,""
AP-70781,RS-4478,withheld-regulation,""
AP-70070,RS-4058,withheld-regulation,""
AP-70795,RS-4546,withheld-regulation,""
AP-70397,RS-4400,withheld-regulation,""
AP-70071,RS-4144,opted out,""
AP-70304,RS-4475,withheld-regulation,""
AP-70822,RS-4144,opted out,""
AP-70356,RS-4307,withheld-regulation,""
AP-70368,RS-4497,withheld-regulation,""
AP-70639,RS-4373,withheld-regulation,""
AP-70665,RS-4335,withheld-regulation,""
AP-70787,RS-4053,withheld-regulation,""
AP-70074,RS-4218,withheld-regulation,""
AP-70550,RS-4194,withheld-regulation,""
AP-70293,RS-4269,opted out,""
AP-70298,RS-4525,withheld-regulation,""
AP-70308,RS-4418,withheld-regulation,""
AP-70939,RS-4139,withheld-regulation,""
AP-70216,RS-4187,withheld-regulation,""
AP-70909,RS-4537,withheld-regulation,""
AP-70158,RS-4012,withheld-regulation,""
AP-70570,RS-4270,withheld-regulation,""
AP-70923,RS-4363,opted out,""
AP-70107,RS-4115,withheld-regulation,""
AP-70793,RS-4337,withheld-regulation,""
AP-70083,RS-4169,withheld-regulation,""
AP-70167,RS-4376,withheld-regulation,""
